City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
110,Conakry,GN,2022-07-13 11:00:48,9.538,-13.6773,78.96,82,52,7.16
111,East London,ZA,2022-07-13 11:01:35,-33.0153,27.9116,71.06,29,0,5.48
112,Jalcocotan,MX,2022-07-13 11:01:35,21.4667,-105.1167,73.0,92,90,2.26
113,Port Lincoln,AU,2022-07-13 10:59:32,-34.7333,135.8667,54.95,76,76,3.0
114,Hobart,AU,2022-07-13 10:57:06,-42.8794,147.3294,42.66,91,20,6.91
115,Panorama,GR,2022-07-13 11:01:36,40.5878,23.0315,82.38,33,20,9.22
116,Komsomolskiy,UZ,2022-07-13 11:01:37,40.4272,71.7189,90.32,18,99,6.91
117,Antofagasta,CL,2022-07-13 11:01:37,-23.65,-70.4,53.98,87,61,3.11
118,Pisco,PE,2022-07-13 11:01:37,-13.7,-76.2167,58.01,88,2,0.54
119,Port Blair,IN,2022-07-13 11:00:25,11.6667,92.75,81.82,79,100,18.52
120,Longyearbyen,SJ,2022-07-13 11:01:38,78.2186,15.6401,48.04,93,75,4.61
121,Bungu,TZ,2022-07-13 11:01:38,-7.6337,39.0582,85.12,38,34,8.43
122,Cherskiy,RU,2022-07-13 11:01:39,68.75,161.3,47.28,63,89,12.12
123,Kirakira,SB,2022-07-13 11:01:39,-10.4544,161.9205,78.01,75,19,6.46
124,Salalah,OM,2022-07-13 11:01:40,17.0151,54.0924,81.39,81,86,9.22
125,Plover,US,2022-07-13 11:01:40,44.4564,-89.544,61.03,79,40,4.0
126,North Bend,US,2022-07-13 10:56:48,43.4065,-124.2243,58.24,97,75,6.91
127,Apache Junction,US,2022-07-13 11:01:41,33.4151,-111.5496,93.09,35,0,10.36
128,Port Elizabeth,ZA,2022-07-13 11:01:41,-33.918,25.5701,64.31,68,1,5.01
129,Sisimiut,GL,2022-07-13 11:01:42,66.9395,-53.6735,43.52,89,100,3.4
130,Klaksvik,FO,2022-07-13 11:01:42,62.2266,-6.589,50.92,90,100,8.12
131,Luganville,VU,2022-07-13 11:01:43,-15.5333,167.1667,76.91,82,60,9.1
132,Rivera,UY,2022-07-13 11:01:43,-30.9053,-55.5508,38.84,96,0,5.77
133,Hambantota,LK,2022-07-13 11:02:43,6.1241,81.1185,91.74,52,20,19.57
134,Ponta Do Sol,PT,2022-07-13 11:02:44,32.6667,-17.1,77.72,62,16,5.03
135,Yerbogachen,RU,2022-07-13 11:02:45,61.2767,108.0108,61.27,50,72,3.51
136,Mataura,NZ,2022-07-13 11:02:45,-46.1927,168.8643,42.48,98,100,6.11
137,Morlaix,FR,2022-07-13 11:02:46,48.5833,-4.0,82.45,51,0,8.05
138,Beringovskiy,RU,2022-07-13 11:02:46,63.05,179.3167,58.26,79,59,7.92
139,Carnarvon,AU,2022-07-13 11:02:46,-24.8667,113.6333,70.29,69,1,10.49
140,New Norfolk,AU,2022-07-13 11:02:47,-42.7826,147.0587,42.3,85,67,1.99
141,Danane,CI,2022-07-13 11:02:47,7.2596,-8.155,74.89,87,97,2.44
142,Georgetown,MY,2022-07-13 11:01:25,5.4112,100.3354,86.9,76,40,1.14
143,Pindi Gheb,PK,2022-07-13 11:02:48,33.2402,72.2661,99.07,40,35,8.37
144,Honningsvag,NO,2022-07-13 11:02:48,70.9821,25.9704,74.95,50,0,13.8
145,Ourem,PT,2022-07-13 11:02:49,39.6417,-8.5919,97.47,13,100,7.2
146,Port Alfred,ZA,2022-07-13 11:02:49,-33.5906,26.891,74.17,33,0,8.99
147,Nikolskoye,RU,2022-07-13 11:02:50,59.7035,30.7861,76.87,36,6,7.58
148,Tiksi,RU,2022-07-13 11:02:50,71.6872,128.8694,35.78,91,100,5.57
149,Saint-Pierre,RE,2022-07-13 11:02:51,-21.3393,55.4781,74.88,60,20,27.63
150,Ribeira Grande,PT,2022-07-13 11:02:51,38.5167,-28.7,75.6,78,75,5.75
151,Anadyr,RU,2022-07-13 11:02:52,64.75,177.4833,49.01,92,34,11.1
152,Upernavik,GL,2022-07-13 11:02:52,72.7868,-56.1549,41.76,83,100,5.99
153,Cap Malheureux,MU,2022-07-13 11:02:52,-19.9842,57.6142,76.46,58,20,8.99
154,Namatanai,PG,2022-07-13 11:02:53,-3.6667,152.4333,79.3,84,89,8.86
155,Aksu,CN,2022-07-13 11:02:53,41.1231,80.2644,88.5,18,73,11.72
156,Victoria,HK,2022-07-13 11:01:21,22.2855,114.1577,89.65,65,10,5.99
157,Turayf,SA,2022-07-13 11:02:11,31.6725,38.6637,96.75,17,8,8.32
158,Inhambane,MZ,2022-07-13 11:02:54,-23.865,35.3833,76.6,47,0,7.36
159,Broome,US,2022-07-13 11:02:55,42.2506,-75.833,64.0,93,0,4.61
160,Kokopo,PG,2022-07-13 11:02:55,-4.352,152.2633,78.62,81,38,10.33
161,Evensk,RU,2022-07-13 11:02:56,61.95,159.2333,49.64,98,56,4.54
162,Suzun,RU,2022-07-13 11:02:56,53.7841,82.3116,69.04,40,100,8.12
163,Waddan,LY,2022-07-13 11:02:56,29.1614,16.139,87.51,26,0,7.7
164,Elizabeth City,US,2022-07-13 11:02:57,36.2946,-76.2511,78.03,95,27,5.01
165,Casper,US,2022-07-13 10:58:45,42.8666,-106.3131,68.22,46,61,2.62
166,Puerto Escondido,MX,2022-07-13 11:02:58,15.85,-97.0667,78.26,85,100,4.14
167,Ahipara,NZ,2022-07-13 11:02:58,-35.1667,173.1667,55.89,89,83,6.02
168,Hanzhong,CN,2022-07-13 11:02:58,33.0728,107.0303,88.52,66,100,4.94
169,Manaure,CO,2022-07-13 11:02:59,11.7751,-72.4445,78.91,81,26,15.84
170,Parkersburg,US,2022-07-13 10:59:04,39.2667,-81.5615,68.52,96,0,0.0
171,Kurud,IN,2022-07-13 11:02:59,20.8322,81.7214,85.98,77,100,8.43
172,Kavieng,PG,2022-07-13 11:03:00,-2.5744,150.7967,82.15,73,95,7.63
173,Tura,IN,2022-07-13 11:03:00,25.5198,90.2201,85.69,81,82,2.39
174,Paka,MY,2022-07-13 11:03:01,4.6374,103.4368,80.22,83,98,4.72
175,Aswan,EG,2022-07-13 11:03:01,24.0934,32.907,103.19,15,20,9.84
176,Inuvik,CA,2022-07-13 11:04:01,68.3499,-133.7218,43.56,100,100,4.61
177,Kodinsk,RU,2022-07-13 11:04:02,58.6881,99.1844,69.73,40,88,0.98
178,Gazli,UZ,2022-07-13 11:04:02,40.1333,63.45,100.85,13,0,15.19
179,Nizwa,OM,2022-07-13 11:04:03,22.9333,57.5333,97.63,38,70,4.81
180,Mount Gambier,AU,2022-07-13 11:04:03,-37.8333,140.7667,47.57,82,87,0.36
181,Zhanaozen,KZ,2022-07-13 11:04:04,43.3,52.8,99.84,13,20,11.07
182,San Policarpo,PH,2022-07-13 11:04:04,12.1791,125.5072,82.45,78,85,2.95
183,Richards Bay,ZA,2022-07-13 11:04:05,-28.783,32.0377,81.9,34,0,10.25
184,Vila Velha,BR,2022-07-13 11:04:05,-20.3297,-40.2925,71.94,85,83,8.12
185,Bengkulu,ID,2022-07-13 11:04:06,-3.8004,102.2655,79.92,81,93,2.82
186,Maragogi,BR,2022-07-13 11:04:06,-9.0122,-35.2225,76.71,84,47,13.49
187,Lipari,IT,2022-07-13 11:04:07,38.4674,14.954,86.32,52,0,4.29
188,Chernyshevskiy,RU,2022-07-13 11:04:07,63.0128,112.4714,62.47,45,100,6.49
189,Flinders,AU,2022-07-13 11:04:08,-34.5833,150.8552,56.17,67,97,8.99
190,Port-Cartier,CA,2022-07-13 11:04:08,50.0334,-66.8654,56.75,79,55,13.58
191,Inirida,CO,2022-07-13 11:04:08,3.8653,-67.9239,71.82,100,100,1.59
192,Grootfontein,NA,2022-07-13 11:04:09,-19.5667,18.1167,70.65,23,0,9.17
193,Eureka,US,2022-07-13 11:04:09,40.8021,-124.1637,60.67,85,92,4.0
194,Bredasdorp,ZA,2022-07-13 11:04:10,-34.5322,20.0403,62.83,53,22,20.22
195,Saldanha,ZA,2022-07-13 11:04:10,-33.0117,17.9442,60.31,69,91,11.21
196,Yulara,AU,2022-07-13 11:04:11,-25.2406,130.9889,52.0,38,0,9.78
197,Port Hardy,CA,2022-07-13 11:04:11,50.6996,-127.4199,51.33,90,43,4.05
198,Solginskiy,RU,2022-07-13 11:04:12,61.05,41.3428,82.18,44,24,5.39
199,Mujiayingzi,CN,2022-07-13 11:04:12,42.1167,118.7833,79.47,40,4,9.19
200,Lafiagi,NG,2022-07-13 11:04:13,8.8667,5.4167,85.17,64,99,8.37
201,Neiafu,TO,2022-07-13 11:04:13,-18.65,-173.9833,78.78,82,46,24.56
202,Madera,US,2022-07-13 11:04:14,37.1666,-119.8343,80.06,45,0,1.36
203,Hanover,DE,2022-07-13 11:01:43,52.3705,9.7332,85.19,36,0,13.8
204,Buala,SB,2022-07-13 11:04:15,-8.145,159.5921,79.88,76,39,8.88
205,Grindavik,IS,2022-07-13 11:04:15,63.8424,-22.4338,50.47,81,75,11.5
206,Torbay,CA,2022-07-13 11:03:20,47.6666,-52.7314,62.28,93,27,5.99
207,Ayagoz,KZ,2022-07-13 11:04:16,47.9714,80.4392,80.19,23,1,20.71
208,Tahta,EG,2022-07-13 11:04:16,26.7693,31.5021,99.23,15,16,21.27
